doc_id,source_id,pdf_filename,sensitivity_level,content_length,has_attachment_ref
enron_00000,,enron_00000.pdf,L3,1116,0
enron_00001,,enron_00001.pdf,L2,310,0
enron_00002,,enron_00002.pdf,L3,2813,0
enron_00003,,enron_00003.pdf,L2,222,0
enron_00004,,enron_00004.pdf,L2,309,0
enron_00005,,enron_00005.pdf,L4,11162,0
enron_00006,,enron_00006.pdf,L2,577,1
enron_00007,,enron_00007.pdf,L2,535,0
enron_00008,,enron_00008.pdf,L1,495,1
enron_00009,,enron_00009.pdf,L1,187,0
enron_00010,,enron_00010.pdf,L2,1072,0
enron_00011,,enron_00011.pdf,L2,2056,0
enron_00012,,enron_00012.pdf,L2,224,0
enron_00013,,enron_00013.pdf,L2,2356,0
enron_00014,,enron_00014.pdf,L1,342,0
enron_00015,,enron_00015.pdf,L1,2051,0
enron_00016,,enron_00016.pdf,L2,513,0
enron_00017,,enron_00017.pdf,L1,449,0
enron_00018,,enron_00018.pdf,L3,1886,0
enron_00019,,enron_00019.pdf,L3,2754,1
enron_00020,,enron_00020.pdf,L2,3445,0
enron_00021,,enron_00021.pdf,L1,123,0
enron_00022,,enron_00022.pdf,L1,123,0
enron_00023,,enron_00023.pdf,L2,2305,0
enron_00024,,enron_00024.pdf,L4,638,1
enron_00025,,enron_00025.pdf,L2,426,1
enron_00026,,enron_00026.pdf,L4,855,0
enron_00027,,enron_00027.pdf,L2,245,1
enron_00028,,enron_00028.pdf,L3,836,0
enron_00029,,enron_00029.pdf,L1,526,1
enron_00030,,enron_00030.pdf,L3,4179,1
enron_00031,,enron_00031.pdf,L4,2596,0
enron_00032,,enron_00032.pdf,L3,1443,0
enron_00033,,enron_00033.pdf,L2,5771,0
enron_00034,,enron_00034.pdf,L2,710,1
enron_00035,,enron_00035.pdf,L2,382,0
enron_00036,,enron_00036.pdf,L4,2092,1
enron_00037,,enron_00037.pdf,L3,2896,0
enron_00038,,enron_00038.pdf,L3,1443,1
enron_00039,,enron_00039.pdf,L2,164,0
enron_00040,,enron_00040.pdf,L3,407,0
enron_00041,,enron_00041.pdf,L1,289,0
