doc_id,original_path,local_filename,category_id,category_name,sensitivity_level
rvlcdip_00000,imagesh/h/l/a/hla09e00/2029370291.tif,rvlcdip_00000.tif,11,invoice,L3
rvlcdip_00001,imagest/t/s/q/tsq65d00/504490260.tif,rvlcdip_00001.tif,7,specification,L4
rvlcdip_00002,imagesk/k/n/k/knk84c00/95824276.tif,rvlcdip_00002.tif,11,invoice,L3
rvlcdip_00003,imagesw/w/s/e/wse42f00/94008786_94008789.tif,rvlcdip_00003.tif,10,budget,L3
rvlcdip_00004,imagesd/d/y/d/dyd00e00/03686551_03686705.tif,rvlcdip_00004.tif,5,scientific_report,L1
rvlcdip_00005,imagese/e/s/n/esn3aa00/11229452_11229458.tif,rvlcdip_00005.tif,5,scientific_report,L1
rvlcdip_00006,imagesh/h/o/a/hoa90d00/580106232+-6234.tif,rvlcdip_00006.tif,11,invoice,L3
rvlcdip_00007,imagesz/z/u/b/zub44a00/96332029.tif,rvlcdip_00007.tif,10,budget,L3
rvlcdip_00008,imagesl/l/a/v/lav51c00/503162316+-2316.tif,rvlcdip_00008.tif,0,letter,L2
rvlcdip_00009,imagesc/c/b/w/cbw91e00/2029020370.tif,rvlcdip_00009.tif,5,scientific_report,L1
rvlcdip_00010,imagesk/k/h/t/kht83d00/508855436_508855437.tif,rvlcdip_00010.tif,0,letter,L2
rvlcdip_00011,imagest/t/p/l/tpl46d00/50102372-2373.tif,rvlcdip_00011.tif,0,letter,L2
rvlcdip_00012,imagesc/c/b/m/cbm77e00/2030974653.tif,rvlcdip_00012.tif,8,file_folder,L1
rvlcdip_00013,imagesg/g/w/e/gwe53f00/0001485339.tif,rvlcdip_00013.tif,1,form,L4
rvlcdip_00014,imagest/t/v/f/tvf80f00/0011920024.tif,rvlcdip_00014.tif,15,memo,L2
rvlcdip_00015,imagesr/r/k/t/rkt22c00/2069735867.tif,rvlcdip_00015.tif,7,specification,L4
rvlcdip_00016,imagesv/v/r/g/vrg22e00/2501191624.tif,rvlcdip_00016.tif,8,file_folder,L1
rvlcdip_00017,imagesk/k/j/v/kjv32f00/titx1304.44_titx1304.45.tif,rvlcdip_00017.tif,0,letter,L2
rvlcdip_00018,imagesg/g/g/z/ggz15c00/2505340930_0932.tif,rvlcdip_00018.tif,5,scientific_report,L1
rvlcdip_00019,imagesm/m/z/o/mzo33e00/2051162484.tif,rvlcdip_00019.tif,8,file_folder,L1
rvlcdip_00020,imagesl/l/k/d/lkd01d00/517557149+-7149.tif,rvlcdip_00020.tif,0,letter,L2
rvlcdip_00021,imagesi/i/d/d/idd71a00/2057417143_2057417144.tif,rvlcdip_00021.tif,7,specification,L4
rvlcdip_00022,imagesh/h/f/g/hfg14f00/0000184353.tif,rvlcdip_00022.tif,10,budget,L3
rvlcdip_00023,imagesu/u/f/d/ufd09d00/50427995-7995.tif,rvlcdip_00023.tif,6,scientific_publication,L1
rvlcdip_00024,imagesa/a/r/s/ars13f00/0000328762.tif,rvlcdip_00024.tif,11,invoice,L3
rvlcdip_00025,imagesy/y/u/v/yuv10a00/10070954_10070955.tif,rvlcdip_00025.tif,5,scientific_report,L1
rvlcdip_00026,imagesb/b/v/u/bvu19e00/2504004020.tif,rvlcdip_00026.tif,11,invoice,L3
rvlcdip_00027,imagese/e/k/m/ekm56e00/2028450438_2028450447.tif,rvlcdip_00027.tif,6,scientific_publication,L1
rvlcdip_00028,imageso/o/m/r/omr07d00/tnwl0024731.tif,rvlcdip_00028.tif,10,budget,L3
